country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,4.04,3.46,4.04,2.26,4.29,4.09,2.37,3.71,4.7,4.11,3,2.41,2.08,1.94,1.94,,0.86,1,1.79,1.42,,,1.4,,,1.95,1.55,2.12,1.74,1.46,1.36,1.57,2.03,1.16,1.02,1.34,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,1.11,0.89,1.01,1.41,0.44,0.68,,0.78,1.13,0.99,0.42,,0.36,0.86,0.99,,1.06,2.55,1.69,1.44,5.21
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,1.38,,,,1.39,,,,,3.74,,0.74,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,,,,,,4.07,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.45,0.58,,,,,0.89,,1.38,1.57,0.82,,,1.23,1.62,1.22,,,,,,,,,2.02,1.09,,,1.27,4.58,4.79,5.72,6.7,6.27,10.4,11.6,9.8,9.9,9.19
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,14.6,,5.81,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.71,,0.29,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,,,,,,,,,,,,,,,,4.48,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,1.2,0.79,0.44,,,,0.77,0.91,5.15,1.04,,,,,,,,,,,,,,,,,,,1.79,1.18,2.21,1.77,0.99,1.44,3.41
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,0.68,,3.47
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,19.1,16.9,7.43,9.49,11.3,24.7,,,,,,,,,,2.35,2.56,,1.23,5.01,4.05,2.16,1.38,3.08,0.71,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,1.78,,4.82,4.71,2.39,0.7,0.61,0.25,0.07,,,,,,,,0.03,0.14,0.11,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41,4.4,3.13,5.64,4.98,5.82,3.95,4.22,4.96,8.07,7.91,10.4,5.52,9.23,5.34,,,,,,1.72,,,0.4,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.84,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72,,,,,,,,,21.1,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,2.63,5.19,1.59,,,,,,,,,,,,4.2,,,2.16,3.57,5.28,2.3,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,2.81,3.07,3.09,3.29,2.53,1.57,1.53,1.76
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.7,2.61,3.33,1.75,1.64,0.68,2.56,2.21,4.5,11,4.42,8.2,8.36,10.3,4.22,5.85,5.62,4.49,2.86,4.12,,,2.68,1.09,3.14,2.29,1.21,1.34,3.53,2.09,1.39,2.69,3.08,2.74,2.73,1.84,2.04
